Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.BetaFeatures.LuaPropertiesTitle,,,Next Gen Properties,Next Gen Properties,,Next Gen-Eigenschaften,,,Properti Generasi Masa Depan,Proprietà Nuova Gen,次世代プロパティ,차세대 속성,Właściwości nowej generacji,Propriedades da próxima geração,,คุณสมบัติรุ่นถัดไป,Yeni Nesil Özellikler,Thuộc Tính Thế Hệ Mới,,,Next Gen 屬性
Studio.BetaFeatures.LSPGoToDeclTitle,,,Luau-Powered Go To Declaration,Luau-Powered Go To Declaration,,Gehe zu Deklaration mit Luau-Unterstützung,,,Buka Deklarasi yang Didukung Luau,Vai a dichiarazione basata su Luau,Luau 駆動宣言へ,Luau 기반 선언으로 이동,Funkcja Przejdź do deklaracji obsługiwana przez Luau,Ir para declaração habilitada por Luau,,ไปที่การประกาศด้วย Luau,"Luau Tabanlı ""Bildirmeye git""",Tính năng Đi Tới Tuyên Bố được hỗ trợ bởi Luau,,,Luau 支援的前往宣告
Studio.BetaFeatures.EditableImageMeshTitle,,,EditableImage and EditableMesh,EditableImage and EditableMesh,,EditableImage und EditableMesh,,,EditableImage dan EditableMesh,EditableImage e EditableMesh,EditableImage と EditableMesh,EditableImage 및 EditableMesh,EditableImage i EditableMesh,EditableImage e EditableMesh,,EditableImage และ EditableMesh,EditableImage ve EditableMesh,EditableImage và EditableMesh,,,EditableImage 和 EditableMesh
Studio.BetaFeatures.EditableImageMeshDescription,,,Enables the new EditableImage and EditableMesh instances which allow the runtime creation and editing of Images and Meshes,Enables the new EditableImage and EditableMesh instances which allow the runtime creation and editing of Images and Meshes,,"Aktiviert die neuen Instanzen EditableImage und EditableMesh, die die Erstellung und Bearbeitung von Bildern und Meshes zur Laufzeit ermöglichen",,,Mengaktifkan instans EditableImage dan EditableMesh baru yang memungkinkan pembuatan runtime serta pengeditan Gambar dan Mesh,Abilita le nuove istanze EditableImage e EditableMesh che consentono la creazione di runtime e la modifica di immagini e mesh,画像とメッシュの実行時作成と編集を可能にする新しい EditableImage と EditableMesh インスタンスを有効にします,이미지 및 메시의 런타임 제작 및 편집을 허용하는 새로운 EditableImage 및 EditableMeshruntime 인스턴스를 활성화합니다.,"Udostępnia nowe instancje EditableImage i EditableMesh , które umożliwiają tworzenie środowiska uruchomieniowego oraz edytowanie obrazów i siatek.",Habilita as novas instâncias EditableImage e EditableMesh que permitem a criação e edição de imagens e malhas em tempo de execução,,เปิดใช้งานอินสแตนซ์ EditableImage และ EditableMesh ใหม่ซึ่งจะช่วยให้สามารถสร้างรันไทม์และแก้ไขภาพและเมชได้,Çalışma zamanında görsel ve mesh yapısı oluşturma ve düzenleme imkânı sağlayan yeni EditableImage ve EditableMesh örneklerini etkinleştirir,Bật các phiên bản EditableImage và EditableMesh mới để tạo và chỉnh sửa thời gian chạy của Hình Ảnh và Lưới,,,啟用新的 EditableImage 和 EditableMesh 個體，可在執行階段對圖像與網格進行建立和編輯
Studio.BetaFeatures.CanQueryDescription,,,Enables property for excluding BaseParts from spatial queries such as raycasts. Only accesible when CanCollide is disabled.,Enables property for excluding BaseParts from spatial queries such as raycasts. Only accesible when CanCollide is disabled.,,"Aktiviert die Eigenschaft zum Ausschluss von BaseParts bei räumlichen Abfragen wie Raycasts. Nur verfügbar, wenn CanCollide deaktiviert ist.",,,"Mengkatifkan properti untuk pengecualian BaseParts dari kueri spasial, misalnya raycast. Hanya bisa diakses jika CanCollide dinonaktifkan.","Abilita la proprietà per escludere BaseParts dalle richieste spaziali, come i raycast. Accessibile solo quando CanCollide è disabilitato.",レイキャストなどの空間クエリから BaseParts を除外するプロパティを有効化。 CanCollide が無効化されている場合にのみアクセスできます。,레이캐스팅과 같은 공간 쿼리에서 BaseParts를 제외하기 위한 속성을 활성화합니다. CanCollide가 비활성화된 경우에만 액세스할 수 있습니다.,Włącza właściwość umożliwiającą wykluczanie elementów BasePart z zapytań przestrzennych takich jak rzutowanie promieni. Funkcja dostępna tylko w przypadku wyłączenia funkcji CanCollide.,Permite propriedade para excluir BaseParts de consultas espaciais como raycasts. Só é acessível quando CanCollide está desativado.,,เปิดใช้งานคุณสมบัติของ BaseParts ที่ยกเว้นจากการคิวรีตามตำแหน่งทิศทาง เช่น Raycast สามารถเข้าถึงได้เมื่อปิดการใช้งาน CanCollide แล้วเท่านั้น,BasePart'ları ışın çizme gibi konumsal sorgulardan muaf tutma özelliğini etkinleştirir. Yalnızca CanCollide devre dışıyken erişime açıktır.,Bật thuộc tính để loại trừ BasePart khỏi các truy vấn không gian như raycast. Chỉ có thể truy cập khi CanCollide bị vô hiệu hóa.,,,啟用將 BasePart 從光線投射等空間查詢中排除的屬性。只有在停用 CanCollide 時才可以使用。
Studio.BetaFeatures.UIListLayoutFlexDescription,,,Add flexible layout options to UIListLayout.,Add flexible layout options to UIListLayout.,,Füge flexible Layout-Optionen zu UIListLayout hinzu.,,,Menambahkan opsi tata letak fleksibel ke UIListLayout.,Aggiungi opzioni di layout flessibili a UIListLayout.,UIListLayout に柔軟なレイアウトオプションを追加。,UIListLayout에 유연한 레이아웃 옵션을 추가합니다.,Dodaj elastyczne opcje układu do układu UIListLayout.,Adicione opções de layout flexíveis ao UIListLayout.,,เพิ่มตัวเลือกเค้าโครงยืดหยุ่นไปยัง UIListLayout,UIListLayout'a esnek düzen seçenekleri ekle.,Thêm các tùy chọn bố cục linh hoạt vào UIListLayout.,,,將彈性配置選項新增到 UIListLayout。
Studio.BetaFeatures.TerrainEditorDescription,,,Updates the Terrain Editor with a new and improved UI.,Updates the Terrain Editor with a new and improved UI.,,Aktualisiert den Gelände-Editor mit einer neuen und verbesserten Benutzeroberfläche.,,,Meng-update Editor Medan dengan UI baru dan disempurnakan.,Aggiorna l'editor del terreno con una nuova interfaccia utente migliorata.,地形編集を新しく改良されたUIで更新。,지형 편집기를 새롭게 개선된 UI로 업데이트합니다.,"Aktualizuje edytor terenu poprzez dodanie nowego, ulepszonego interfejsu użytkownika.",Atualiza o Editor de terreno com uma interface nova e melhorada.,,อัปเดตเครื่องมือแก้ไขภูมิประเทศด้วย UI ใหม่ที่ปรับปรุงแล้ว,Arazi Düzenleyici'yi yeni ve geliştirilmiş bir arayüzle günceller.,Cập nhật Trình Chỉnh Sửa Địa Hình với UI mới và cải tiến.,,,將地形編輯器更新為改良過的全新 UI。
Studio.BetaFeatures.SimulationPauseAndStepTitle,,,Simulation Pause and Step,Simulation Pause and Step,,Simulation pausieren und steppen,,,Jeda dan Step Simulasi,Pausa e passaggio della simulazione,一時停止とステップのシミュレーション,시뮬레이션 일시 중지 및 스테핑,Wstrzymywanie i postęp symulacji,Pausa e passos de simulação,,จำลองการหยุดชั่วคราวและลำดับขั้น,Simülasyon Duraklatma ve Adımlama,Tạm Dừng Mô Phỏng và Bước Mô Phỏng,,,模擬暫停和時步
Studio.BetaFeatures.ScriptEditorHoverDescription,,,"(! Works better with ""Scripts Are Non-Strict By Default"" Beta Feature ON !) Displays Luau type information when hovering over code in the script editor.","(! Works better with ""Scripts Are Non-Strict By Default"" Beta Feature ON !) Displays Luau type information when hovering over code in the script editor.",,"(! Funktioniert besser, wenn die Beta-Funktion ""Skripte sind standardmäßig nicht-strikt"" aktiviert ist!) Zeigt Informationen zum Luau-Typ an, wenn der Mauszeiger über den Code im Script-Editor bewegt wird.",,,"(! Lebih efektif saat Fitur Beta ""Skrip secara Default Menggunakan Mode Non-Strict"" DIAKTIFKAN !) Menampilkan informasi tipe Luau saat kursor melayang diarahkan di atas kode di editor skrip.","(! Funziona meglio con la funzionalità beta ""Script non rigorosi di default"" attivata !) Visualizza le informazioni di tipo Luau quando si passa il mouse sul codice nell'editor di script.",(! 「スクリプトはデフォルトで非厳格」ベータ機能をオンにしたほうがうまく機能します !) スクリプト編集上でコードの上にマウスオーバーしたときに Luau 型情報を表示。,(! '스크립트에 기본적으로 비엄격 모드 적용' 베타 기능이 켜져 있을 때 더 잘 작동합니다 !) 스크립트 편집기에서 코드 위로 마우스를 가져가면 Luau 유형 정보가 표시됩니다.,(! Działa lepiej z WŁĄCZONĄ funkcją „Skrypty są domyślnie w trybie nieścisłym” w wersji beta !) Wyświetla informacje o typie Luau po najechaniu wskaźnikiem na kod w edytorze skryptów.,"(! Funciona melhor com a funcionalidade ""Scripts são não-restritivos por padrão"" ativada !) Mostra informações tipo Luau quando passar o cursor sobre um código no editor de script.",,"(! ทำงานได้ดียิ่งขึ้นด้วยคุณสมบัติเบต้า ""สคริปต์เป็นแบบ Non-Strict โดยค่าเริ่มต้น"" ที่เปิดอยู่ !) แสดงข้อมูลประเภท Luau เมื่อวางเคอร์เซอร์อยู่เหนือรหัสในเครื่องมือแก้ไขสคริปต์","(! ""Betiklerde katı olmayan mod varsayılan"" beta özelliği AÇIKKEN daha iyi çalışır !) Betik düzenleyicisinde imleç kodun üzerindeyken Luau tür bilgilerini gösterir.","(! Hoạt động tốt hơn khi BẬT Tính Năng Beta ""Tập Lệnh Không Nghiêm Ngặt Theo Mặc Định""!) Hiển thị thông tin loại Luau khi di chuột qua mã trong trình biên tập lệnh.",,,（！「指令碼預設為非嚴格模式」Beta 測試功能啟用時的效果更佳！）在指令碼編輯器裡將游標停放在指令碼上時，將會顯示 Luau 類型資訊。
Studio.BetaFeatures.LuauNativeVector3Title,,,Native Vector3 Type,Native Vector3 Type,,Nativer Vector3-Typ,,,Tipe Vector3 Bawaan,Tipo Vector3 nativo,ネイティブ Vector3 型,네이티브 Vector3 유형,Natywny typ Vector3,Tipo Vector3 nativo,,ประเภท Vector3 ดั้งเดิม,Yerleşik Vector3 türü,Loại Vector3 Gốc,,,原生 Vector3 類型
Studio.BetaFeatures.TextureGeneratorTitle,,,Texture Generator,Texture Generator,,Texturgenerator,,,Generator Tekstur,Generatore di strutture,テクスチャ生成,텍스처 생성기,Generator tekstur,Gerador de texturas,,เครื่องมือสร้างพื้นผิว,Doku Oluşturucu,Trình Tạo Vân Đồ Họa,,,紋理產生工具
Studio.BetaFeatures.SimulationPauseAndStepDescription,,,"Enables visual pausing, stepping, and simulation debugging at studio run time.","Enables visual pausing, stepping, and simulation debugging at studio run time.",,"Aktiviert visuelles Pausieren, Steppen und Debuggen der Simulation, während Studio ausgeführt wird.",,,"Memungkinkan penjedaan visual, stepping, dan debugging saat runtime studio.","Abilita la pausa visiva, il passaggio e il debug della simulazione in fase di esecuzione di Studio.",Studio実行時に視覚的な一時停止とステッピング、シミュレーションデバッグを有効化。,"Studio 런타임 시 비주얼 일시 중지, 스테핑 및 시뮬레이션 디버깅을 활성화합니다.","Udostępnia wizualne wstrzymywanie, postępy i debugowanie symulacji w środowisku uruchomieniowym aplikacji Studio.","Habilita pausas visuais, passos (stepping) e depuração de simulação no tempo de execução do Studio.",,"เปิดใช้งานการหยุดชั่วคราวภาพ, การปรับระดับขั้น และการ Debug ที่รันไทม์ Studio","Studio çalışma zamanında görsel duraklatmayı, adımlamayı ve simülasyon hata ayıklamasını etkinleştirir.","Cho phép tạm dừng, bước qua và gỡ lỗi mô phỏng trực quan khi studio chạy.",,,啟用 Studio 執行階段的視覺效果暫停、時步和模擬偵錯。
Studio.BetaFeatures.AutomaticSizeDescription,,,UI object property that automatically sizes objects based on their child content.,UI object property that automatically sizes objects based on their child content.,,"UI-Objekteigenschaft, die die Größe von Objekten automatisch anhand ihres untergeordneten Inhalts bestimmt.",,,Properti objek UI yang secara otomatis menentukan ukuran objek berdasarkan konten turunan.,Proprietà dell'oggetto UI che ridimensiona automaticamente gli oggetti sulla base dei loro contenuti figli.,子コンテンツに基づき、オブジェクトを自動サイズ調整するUIオブジェクトプロパティ。,자식 콘텐츠에 따라 개체의 크기를 자동으로 조정하는 UI 개체 속성입니다.,"Właściwość obiektu interfejsu użytkownika, która automatycznie dostosowuje rozmiary obiektów na podstawie zawartych w nich elementów podrzędnych.",Propriedade do objeto da interface do usuário que automaticamente dimensiona objetos com base em seu conteúdo de filho.,,คุณสมบัติวัตถุ UI ที่ปรับขนาดวัตถุโดยอัตโนมัติตามเนื้อหาลูกปัจจุบันของตนเอง,Nesneleri alt öğe içeriklerine göre otomatik olarak boyutlandıran UI nesnesi özelliği.,Thuộc tính đối tượng trong UI tự động định cỡ đối tượng dựa trên nội dung phụ của chúng.,,,根據物件的子內容自動調整其大小的 UI 物件屬性。
Studio.BetaFeatures.MaterialPickerDescription,,,Adds a new Material button to the Home and Edit tabs to quickly change materials.,Adds a new Material button to the Home and Edit tabs to quickly change materials.,,"Fügt den Tabs Hauptmenü und Bearbeiten eine neue Material-Schaltfläche hinzu, über die das Material schnell geändert werden kann.",,,Menambahkan tombol Material baru ke tab Beranda dan Edit agar material dapat diubah dengan cepat.,Aggiunge un nuovo pulsante Materiale alle schede Home e Modifica per modificare rapidamente i materiali.,素材をすぐに変更できるように新しい素材ボタンを [ホーム] と [編集] タブに追加。,재질을 빠르게 변경할 수 있도록 홈 및 편집 탭에 새로운 재질 버튼을 추가합니다.,"Dodaje nowy przycisk materiału na karcie głównej i karcie edycji, aby umożliwić szybkie zmienianie materiałów.",Adiciona um novo botão de material às guias Início e Editar para mudar de material rapidamente.,,เพิ่มปุ่มวัสดุใหม่ไปยังแท็บหน้าหลักและการแก้ไขเพื่อเปลี่ยนวัสดุอย่างรวดเร็ว,Ana Sayfa ve Düzenle sekmelerine malzemeleri hızlı bir şekilde değiştirmek için yeni bir Malzeme düğmesi ekler.,Thêm nút Vật Liệu mới vào thẻ Trang Chủ và Chỉnh Sửa để nhanh chóng thay đổi vật liệu.,,,將新的材質按鈕新增到首頁和編輯分頁以快速變更材質。
Studio.BetaFeatures.OcclusionCullingDescription,,,Enables software occlusion culling in Studio. Use wireframe to see what it culls.,Enables software occlusion culling in Studio. Use wireframe to see what it culls.,,"Ermöglicht Occlusion Culling von Software in Studio. Verwende das Drahtgitter, um zu sehen, was ausgeblendet wird.",,,Mengaktifkan pengecualian objek terhalang (occlusion culling) perangkat lunak di Studio. Gunakan wireframe untuk melihat objek yang dikecualikan.,Abilita l'Occlusion culling del software in Studio. Usa il wireframe per vedere cosa viene rimosso.,,Studio에서 소프트웨어 오클루전 컬링을 활성화합니다. 와이어프레임을 사용하면 가리는 대상을 확인할 수 있습니다.,"Włącza usuwanie niewidocznych powierzchni w aplikacji Studio. Użyj szkieletu, aby zobaczyć, co zostanie usunięte.",Permite a remoção de oclusão de software no Studio. Use wireframes para ver o que é removido.,,เปิดใช้งาน Occlusion ด้วยซอฟต์แวร์ใน Studio ใช้ wireframe เพื่อดูว่ามันคัดกรองอะไรออกไปบ้าง,Yazılım gizleme ayıklamayı Studio'da etkinleştirir. Hangi nesneleri ayıkladığını görmek için tel çerçeveyi kullan.,Bật tính năng loại bỏ tắc nghẽn phần mềm trong Studio. Sử dụng wireframe để xem các đối tượng bị loại bỏ.,,,在 Studio 中啟用軟體遮蔽去除。使用線框圖可查看會去除的物件。
Studio.BetaFeatures.AcousticsSimulationApiTitle,,,Acoustics Simulation,Acoustics Simulation,,Akustiksimulation,,,Simulasi Akustik,Simulazione acustica,音響シミュレーション,음향 시뮬레이션,Symulacja akustyki,Simulação de acústica,,การจำลองเสียง,Akustik Simülasyonu,Mô Phỏng Độ Vang,,,聲學模擬
Studio.BetaFeatures.AutoEnrollmentToggleTooltip,,,New Beta Features Will Automatically Be Activated,New Beta Features Will Automatically Be Activated,,Neue Beta-Funktionen werden automatisch aktiviert,,,Fitur Beta Baru Akan Otomatis Diaktifkan,Le nuove funzionalità beta si attiveranno automaticamente,新規ベータ機能が自動的にアクティブ化されます,새로운 베타 기능이 자동으로 활성화됩니다,Nowe funkcje w wersji beta zostaną automatycznie aktywowane,Novas funcionalidades beta serão ativadas automaticamente,,คุณสมบัติเบต้าใหม่จะได้รับการเปิดใช้งานโดยอัตโนมัติ,Yeni beta özellikler otomatik olarak etkinleştirilir,Các Tính Năng Beta Mới Sẽ Tự Động Được Kích Hoạt,,,新的 Beta 測試功能將會自動啟用
Studio.BetaFeatures.LuaExplorerTitle,,,Next Gen Explorer,Next Gen Explorer,,Next Gen Explorer,,,Eksplorer Generasi Masa Depan,Esploratore Nuova Gen,次世代エクスプローラ,차세대 탐색기,Eksplorator nowej generacji,Explorador da próxima geração,,การสำรวจรุ่นถัดไป,Yeni Nesil Gezgin,Trình Khám Phá Thế Hệ Mới,,,Next Gen 總管
Studio.BetaFeatures.SurfaceAppearanceTintingDescription,,,SurfaceAppearance Tinting allows you to multiply a Color property with your SurfaceAppearance’s ColorMap to create color variations.,SurfaceAppearance Tinting allows you to multiply a Color property with your SurfaceAppearance’s ColorMap to create color variations.,,"SurfaceAppearance-Tönung ermöglicht es dir, eine Farbeigenschaft mit der ColorMap deines SurfaceAppearance zu multiplizieren, um Farbvariationen zu erstellen.",,,"Dengan Pewarnaan SurfaceAppearance, kamu bisa memperbanyak ciri Warna menggunakan ColorMap SurfaceAppearance untuk menciptakan variasi warna.",La Colorazione SurfaceAppearance ti consente di moltiplicare una proprietà colore con ColorMap di SurfaceAppearance per creare variazioni di colore.,SurfaceAppearance の着色で色の属性を SurfaceAppearance の ColorMap で色のバリエーションを持たせることができます。,SurfaceAppearance 틴팅을 사용하면 색상 속성을 SurfaceAppearance의 ColorMap과 곱하여 색상 변형을 만들 수 있습니다.,Barwienie SurfaceAppearance umożliwia zwielokrotnianie właściwości Color na mapie ColorMap SurfaceAppearance w celu tworzenia wariantów kolorystycznych.,O tingimento SurfaceAppearance permite que você multiplique uma propriedade de cor com o ColorMap de sua SurfaceAppearance para criar variações de cor.,,การแต้มสี SurfaceAppearance จะช่วยให้คุณทวีคูณคุณสมบัติสีได้ด้วย ColorMap ของ SurfaceAppearance ของคุณเพื่อสร้างความแตกต่างของสีได้,"SurfaceAppearance Tonu, bir Color özelliğini SurfaceAppearance'ın ColorMap'iyle çoğaltarak renk varyasyonları oluşturmana olanak tanır.","SurfaceAppearance Tinting cho phép bạn nhân rộng một thuộc tính Màu Sắc bằng ColorMap của SurfaceAppearance, từ đó tạo ra các biến thể màu.",,,SurfaceAppearance 染色可讓您使用 SurfaceAppearance 的 ColorMap 對 Color 屬性進行乘法運算來創造顏色變化。
Studio.BetaFeatures.PlaceAnnotationsDescription,,,"Enable place comments for Team Create places, allowing you to leave annotations and comments for your collaborators.","Enable place comments for Team Create places, allowing you to leave annotations and comments for your collaborators.",,"Aktiviere Ortskommentare für Team Create-Orte, sodass du Anmerkungen und Kommentare für Mitwirkende hinterlassen kannst.",,,Aktifkan taruh komentar untuk tempat Kreasi Bersama agar kamu bisa memberikan anotasi dan komentar bagi kolaboratormu.,"Abilita i commenti sui posti del Team Crea, in modo da poter lasciare annotazioni e commenti consultabili dai tuoi collaboratori.",,팀 제작 플레이스의 플레이스 코멘트를 활성화해 공동 작업자들에게 주석 및 코멘트를 남길 수 있도록 허용합니다.,"Włącz funkcję zamieszczania komentarzy w miejscach tworzonych zespołowo, aby umożliwić dodawanie notatek i komentarzy dla pozostałych współtwórców.","Ativar comentários para locais de criação de equipe, permitindo que você deixe anotações e comentários para seus colaboradores.",,เปิดใช้งานการใส่ความคิดเห็นสำหรับสถานที่การสร้างร่วมกับเพื่อน ช่วยให้คุณสามารถให้ข้อเสนอแนะและความคิดเห็นให้กับผู้ร่วมงานของคุณได้,Takım Çalışması mekânlarına yorum eklenmesini etkinleştirerek çalışma ortakların için notlar ve yorumlar bırak.,"Bật bình luận về địa điểm cho các địa điểm Tạo Đội, cho phép bạn để lại chú thích và bình luận cho những người hợp tác cùng bạn.",,,啟用適用於團隊創作地點的地點留言，可讓您留下註釋和留言給您的協作者。
Studio.BetaFeatures.ImportQueueTitle,,,Import Queue,Import Queue,,Warteschlange importieren,,,Antrean Impor,Importa coda,キューをインポート,대기열 가져오기,Kolejka importowania,Fila de importação,,นำเข้าคิว,İçe Aktarım Sırası,Nhập Hàng Đợi,,,匯入佇列
Studio.BetaFeatures.SaveToCloudV2Description,,,Create new games in the cloud automatically.,Create new games in the cloud automatically.,,Erstelle neue Spiele automatisch in der Cloud.,,,Membuat game baru di cloud secara otomatis.,Crea automaticamente nuovi giochi nel cloud.,クラウド上に自動的に新しいゲームを作成,클라우드에 자동으로 새로운 게임을 만듭니다.,Automatycznie twórz nowe gry w chmurze.,Automaticamente cria novos jogos na nuvem.,,สร้างเกมใหม่ในคลาวด์โดยอัตโนมัติ,Bulutta yeni oyunları otomatik olarak oluştur.,Tự động tạo các trò chơi mới trong đám mây.,,,在雲端上自動建立新遊戲。
Studio.BetaFeatures.PlaceAnnotationsTitle,,,Place Comments,Place Comments,,Ortskommentare,,,Taruh Komentar,Commenti sulle località,,플레이스 코멘트,Zamieszczanie komentarzy,Comentários do local,,ใส่ความคิดเห็น,Mekân Yorumları,Bình Luận Về Địa Điểm,,,留言
Studio.BetaFeatures.VideoApiDescription,,,Enables the VideoPlayer instance for playing videos on multiple surfaces and compatibility with the new Audio API.,Enables the VideoPlayer instance for playing videos on multiple surfaces and compatibility with the new Audio API.,,Aktiviert die VideoPlayer-Instanz für die Wiedergabe von Videos auf mehreren Oberflächen und die Kompatibilität mit der neuen Audio-API.,,,Mengaktifkan instans VideoPlayer untuk memutar video di beberapa permukaan dan kompatibilitas dengan API Audio baru.,Abilita l'istanza VideoPlayer per la riproduzione di video su più superfici e attivare la compatibilità con la nuova API audio.,,VideoPlayer 인스턴스를 활성화해 여러 표면에서 비디오를 재생하고 새로운 오디오 API와 호환되게 합니다.,"Udostępnia instancję odtwarzacza VideoPlayer, umożliwiając odtwarzanie filmów na różnych powierzchniach oraz zapewnia zgodność z nowym interfejsem API do obsługi dźwięku.",Habilita a instância do VideoPlayer para reproduzir vídeos em múltiplas superfícies e compatibilidade com a nova API de áudio.,,เปิดใช้งานอินสแตนซ์ VideoPlayer สำหรับการเล่นวิดีโอบนหลายพื้นผิว และรองรับกับ API เสียงใหม่,Birden fazla yüzeyde video oynatılmasına ve yeni Ses API'ıyla uyumluluğa olanak tanıyan VideoPlayer örneğini etkinleştirir.,Cho phép phiên bản VideoPlayer phát video trên nhiều giao diện và tương thích với API Âm Thanh mới.,,,啟用 VideoPlayer 個體以在多個介面上播放影片，並相容新的音訊 API。
Studio.BetaFeatures.BetaFeatures,,,Beta Features,Beta Features,,Beta-Funktionen,,,Fitur Beta,Funzionalità beta,ベータ機能,베타 기능,Funkcje beta,Funcionalidades beta,,คุณสมบัติรุ่นเบต้า,Beta Özellikler,Tính Năng Beta,,,Beta 測試功能
Studio.BetaFeatures.InsertObjectStreamliningTitle,,,Insert Object Streamlining,Insert Object Streamlining,,Optimiertes Einfügen von Objekten,,,Masukkan Penyederhanaan Objek,Ottimizzazione dell'inserimento oggetto,,개체 삽입 간소화,Usprawnienie wstawiania obiektów,Simplificar inserção de objetos,,แทรกวัตถุแบบสตรีมไลน์,Nesne Ekleme Modernleştirme,Hợp Lý Hóa Chèn Đối Tượng,,,插入物件精簡化
Studio.BetaFeatures.ConvertToTerrainDescription,,,Enables the Convert TerrainTool which can convert Parts into Terrain materials and biomes.,Enables the Convert TerrainTool which can convert Parts into Terrain materials and biomes.,,"Aktiviert das Convert TerrainTool, mit dem Teile in Geländematerialien und Biome umgewandelt werden können.",,,Mengaktifkan Convert TerrainTool yang dapat mengonversi Komponen menjadi material dan bioma Medan.,Abilita lo strumento di conversione del terreno che può convertire le parti in materiali di terreno e biomi.,Parts を Terrain の素材とバイオーム に変換できるTerrainTool 変換を有効化。,파트를 지형 재질 및 생물군으로 변환할 수 있는 Convert TerrainTool 전환을 활성화합니다.,"Udostępnia narzędzie do konwersji terenu, które umożliwia konwertowanie części na materiały terenu i biomy.","Habilita a ferramenta TerrainTool, que pode converter partes em materiais de terrenos e biomas.",,เปิดใช้งาน ConvertTerrainTool ซึ่งสามารถแปลงส่วนประกอบต่างๆ เป็นวัสดุและชีวนิเวศของภูมิประเทศได้,Parçaları arazi malzemelerine ve biyomlara dönüştürmekte kullanılan Dönüştürme arazi aracını etkinleştirir.,Kích hoạt Công Cụ Chuyển Đổi Địa Hình có thể chuyển đổi các Bộ Phận thành vật liệu và quần xã sinh vật của Địa Hình.,,,啟用可以將 Part 轉換成 Terrain 材質和生物群系的轉換 TerrainTool。
Studio.BetaFeatures.LegalDisclaimerTitle,,,Terms and Conditions,Terms and Conditions,,Nutzungsbedingungen,,,Syarat dan Ketentuan,Termini e condizioni,規約と条件,약관 및 조건,Warunki,Termos e Condições,,ข้อกำหนดและเงื่อนไข,Hüküm ve Koşullar,Điều Khoản và Điều Kiện,,,條款與條件
